"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-01","85",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-02","83","97",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-03","77","90",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-04","78",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-05","78","84","74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-06","80",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-07","83","95",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-08","81","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-09","82",,"76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-10","83","91",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-11","85",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-12","85","99","79"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-13","78","90","75"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-14","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-15","81",,"75"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-16","86",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-17","78","99",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-18","73",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-19","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-20","76","82",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-21","76",,"72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-22","76",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-23","75","83",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-24","74",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-25","77",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-26","77",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-27","81",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-28","83",,"76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-29","83","93","77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-30","85",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-01-31","84",,"76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-01","84","100",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-02","81","94","77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-03","80",,"74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-04","79","87","75"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-05","79","84",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-06","77","84","72"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-07","80",,"76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-08","80",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-09","85",,"77"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-10","80","96",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-11","73","85",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-12","71",,"70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-13","74",,"70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-14","76",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-15","79",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-16","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-17","80","92","74"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-18","85",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-19","86",,"76"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-20","87",,"79"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-21","82","96",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-22","76","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-23","74","81","70"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-24","75",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-25","79",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-26","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-27","77","94",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-28","71","77",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-02-29","74",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-01","73","78",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-02","71","76",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-03","74",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-04","75","81",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-05","74",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-06","75","83",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-07","75",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-08","77",,"69"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-09","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-10","78",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-11","77","85",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-12","77",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-13","79",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-14","81",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-15","83",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-16","84",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-17","80",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-18","78",,"73"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-19","81",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-20","83","93",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-21","74","89",
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-22","75",,"71"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-23","75",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-24","74","82","68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-25","74",,
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-26","74","81","68"
"BRM00083746","GALEAO ANTONIO CARLOS JOBIM, BR","2020-03-27","76",,"70"
